Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Roast Type,Size,Unit Price,Sales,Coffee Type Name,Roast Type Name,Loyalty Card
QEV-37451-860,05-Sep-2019,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,United States,Rob,M,1.0 kg,$9.95,$19.90,Robusta,Medium,Yes
QEV-37451-860,05-Sep-2019,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,United States,Exc,M,0.5 kg,$8.25,$41.25,Excelsa,Medium,Yes
FAA-43335-268,17-Jun-2021,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,United States,Ara,L,1.0 kg,$12.95,$12.95,Arabica,Light,Yes
KAC-83089-793,15-Jul-2021,23806-46781-OU,E-M-1,2,Christoffer O' Shea,0,Ireland,Exc,M,1.0 kg,$13.75,$27.50,Excelsa,Medium,No
KAC-83089-793,15-Jul-2021,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,0,Ireland,Rob,L,2.5 kg,$27.49,$54.97,Robusta,Light,No
CVP-18956-553,04-Aug-2021,86561-91660-RB,L-D-1,3,Beryle Cottier,0,United States,Lib,D,1.0 kg,$12.95,$38.85,Liberica,Dark,No
IPP-31994-879,21-Jan-2022,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,United States,Exc,D,0.5 kg,$7.29,$21.87,Excelsa,Dark,Yes
SNZ-65340-705,20-May-2022,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,0,Ireland,Lib,L,0.2 kg,$4.76,$4.76,Liberica,Light,Yes
EZT-46571-659,02-Jan-2019,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,United States,Rob,M,0.5 kg,$5.97,$17.91,Robusta,Medium,No
NWQ-70061-912,05-Sep-2019,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,United States,Rob,M,0.5 kg,$5.97,$5.97,Robusta,Medium,No
BKK-47233-845,08-Mar-2021,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,United States,Ara,D,1.0 kg,$9.95,$39.80,Arabica,Dark,No
VQR-01002-970,28-Oct-2020,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,United States,Exc,L,2.5 kg,$34.16,$170.78,Excelsa,Light,Yes
SZW-48378-399,02-Jul-2022,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,United States,Rob,M,1.0 kg,$9.95,$49.75,Robusta,Medium,No
ITA-87418-783,22-May-2020,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,United States,Rob,D,2.5 kg,$20.59,$41.17,Robusta,Dark,No
GNZ-46006-527,05-Apr-2022,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,United States,Lib,D,0.2 kg,$3.89,$11.66,Liberica,Dark,Yes
FYQ-78248-319,07-Jun-2022,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,United States,Rob,M,2.5 kg,$22.89,$114.43,Robusta,Medium,No
VAU-44387-624,20-Mar-2019,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,United States,Ara,M,0.2 kg,$3.38,$20.25,Arabica,Medium,No
RDW-33155-159,19-Oct-2019,62173-15287-CU,A-L-1,6,Rhianon Broxup,rbroxuph@jimdo.com,United States,Ara,L,1.0 kg,$12.95,$77.70,Arabica,Light,No
